,Time,Radius,Energy,Star_Stability,Temperature
0,9.48803557,2.3149999999999995,4.6150215020384655,4.451,5455.0
1,54.4183827,2.895,2.3735094313307443,4.451,5455.0
2,2.525591777,3.0149999999999997,7.096063049260834,4.368,6010.0
3,11.09432054,4.325,5.036205570207786,4.3985,6024.5
4,4.13443512,3.0700000000000003,6.346451817726909,4.3985,6024.5
5,2.56658897,1.7650000000000001,6.981558561865654,4.3985,6024.5
6,16.06864674,5.625,3.4226326623822203,4.512500000000001,5027.0
7,3.522498429,14.59,7.155431430085353,4.1739999999999995,6212.5
8,3.709214104,1.185,6.282584453431286,4.3925,5827.0
9,9.27358173,2.45,3.7668816197584754,4.598000000000001,4848.5
10,6.02930329,2.9050000000000002,3.9945242269398897,4.629999999999999,4537.0
11,5.349553819,2.51,5.124440056536745,4.4665,5189.0
12,3.94105221,1.675,5.526567855230391,4.4665,5189.0
13,8.10904807,1.2850000000000001,4.57404065079117,4.4665,5189.0
14,21.67699193,2.8950000000000005,2.951257783452162,4.5275,4954.0
15,4.99677968,2.925,5.2878123819028895,4.5009999999999994,5347.0
16,4.280963604,2.495,5.731170637975068,4.496,5635.5
17,38.3775486,2.835,3.0167596407460664,4.38,5485.0
18,41.19725502,3.7699999999999996,2.245485500953473,4.512500000000001,5027.0
19,6.252962249,2.585,4.6581894899637275,4.512500000000001,5027.0
20,16.01308419,3.115,3.4680769105017,4.487499999999999,5022.5
21,32.62876672,3.575,2.9813797673295905,4.51,5586.0
23,4.959319244,12.46,5.932391065401469,4.359,5712.0
24,4.49876511,2.315,6.24372991199421,4.4079999999999995,6064.5
25,5.412203927,2.965,5.875590625433251,4.351000000000001,5773.5
26,41.43958662,5.805,3.078693794268338,4.35,5476.0
27,8.35389523,2.67,4.703702442052338,4.528,5592.0
28,4.125543472,4.895,6.611388940545389,4.34,6141.0
29,2.816504904,12.585,6.337400787009058,4.4295,5527.5
30,3.689920099,2.0599999999999996,6.252770559516541,4.443,5862.5
31,4.431238488,3.36,5.955046901687066,4.401,5714.0
32,11.37936986,4.08,4.70207001072805,4.401,5714.0
33,26.39432897,3.165,2.767576180416237,4.568,5129.0
34,13.57078281,2.705,4.587108043169683,4.395999999999999,5848.0
35,7.12594387,1.805,5.50711855614637,4.351000000000001,5773.5
36,16.38489988,1.9949999999999999,2.2428350885882717,4.661,4126.0
37,7.8774163,2.1500000000000004,3.1514531485507664,4.661,4126.0
38,36.4454001,1.99,1.3609765531356006,4.661,4126.0
39,3.728732147,6.369999999999999,5.730180948510732,4.526,5505.5
40,40.4195037,7.614999999999999,2.590767040487478,4.512499999999999,5454.0
41,2.243380573,1.98,4.692952099371625,4.6965,4144.5
42,2.337437946,2.38,5.789363662746407,4.568999999999999,5005.0
43,7.2406612,19.794999999999998,4.288539791580417,4.568999999999999,5005.0
44,11.59822233,2.61,1.9095425048844386,4.7925,3679.0
45,6.575315881,5.654999999999999,5.740162618748951,4.37,5983.0
46,7.275040844,5.2,4.925875924887054,4.4895,5477.0
47,19.27153892,1.92,1.9013609791431358,4.702,4077.0
48,10.06524317,1.9,2.675871302737975,4.702,4077.0
49,12.3935651,2.8150000000000004,4.0905875133443885,4.555999999999999,5557.0
50,43.84439721,2.9350000000000005,3.061520014091994,4.395999999999999,5848.0
51,2.711504086,3.4600000000000004,7.148958763512314,4.361000000000001,6181.5
52,7.21203748,3.685,5.846221988555448,4.361000000000001,6181.5
53,8.47237911,2.665,4.436869870556391,4.551,5354.0
55,12.61190435,8.135000000000002,4.601362947645137,4.4235,5786.5
56,2.539183147,2.065,6.663183780254307,4.3614999999999995,5523.0
57,6.770300385,2.925,4.7890738239646975,4.613999999999999,5653.0
58,10.181584,8.455,4.889070115144412,4.469,5979.0
59,20.06036336,1.9449999999999998,1.608437412100517,4.759499999999999,3942.0
60,46.1842039,1.8150000000000002,0.8394096875381973,4.759499999999999,3942.0
61,23.9800854,1.3450000000000002,3.8393447799301605,4.395999999999999,5848.0
62,7.82502168,1.19,2.7083834788923307,4.759499999999999,3942.0
63,3.895936525,7.779999999999999,5.663585284904788,4.5409999999999995,5557.0
64,22.36646466,2.4299999999999997,3.149096930260284,4.579000000000001,5395.0
65,1.625522174,9.725000000000001,7.333330156755918,4.3405000000000005,5543.5
66,19.62034692,14.05,3.804549147122913,4.46,5705.5
67,9.02930689,2.6599999999999997,4.489927670475814,4.5035,5349.0
68,143.2063047,9.120000000000001,1.1817271953786161,4.5225,5474.0
69,1.594745374,12.18,7.413249717198239,4.426,5925.0
70,4.783002698,2.575,5.088305959932419,4.538499999999999,5170.0
71,20.50588921,3.3950000000000005,2.9172300453990334,4.558,4905.0
72,3.340218842,2.01,3.7978459603657466,4.759499999999999,3942.0
73,18.64932728,3.215,4.150961162640996,4.3765,5775.0
74,4.90144976,1.7149999999999999,6.410807905248856,4.192,5841.5
75,9.75192101,2.8549999999999995,5.0067276692652385,4.3765,5775.0
76,38.5576546,4.1499999999999995,3.2086234484038494,4.3765,5775.0
77,3.525632539,11.79,5.414966426163217,4.55,5150.0
78,34.84398644,8.015,3.001217203784561,4.4475,5509.0
79,7.748094239,6.09,5.586218165077525,4.3545,5941.5
80,23.96793669,1.7750000000000001,1.3190856114264407,4.7364999999999995,3743.0
81,8.29561738,1.7950000000000002,2.5067496777104528,4.7364999999999995,3743.0
82,8.11437482,2.0900000000000003,2.45315795147342,4.7495,3687.0
83,14.74914825,2.9050000000000002,4.9480859044354135,4.192,5841.5
84,21.81295996,3.59,3.8988364436239706,4.3740000000000006,5601.0
