,Time,Depth,Radius,Energy,Star_Stability,Temperature
0,9.48803557,616.0,2.3149999999999995,99.99000000000001,4.451,5455.0
1,54.4183827,875.0,2.895,9.735,4.451,5455.0
2,2.525591777,603.0,3.0149999999999997,1206.205,4.368,6010.0
3,11.09432054,1520.0,4.325,152.885,4.3985,6024.5
4,4.13443512,686.0,3.0700000000000003,569.465,4.3985,6024.5
5,2.56658897,227.0,1.7650000000000001,1075.595,4.3985,6024.5
6,16.06864674,4910.0,5.625,29.65,4.512500000000001,5027.0
7,3.522498429,9150.0,14.59,1280.045,4.1739999999999995,6212.5
8,3.709214104,131.0,1.185,534.17,4.3925,5827.0
9,9.27358173,1290.0,2.45,42.245000000000005,4.598000000000001,4848.5
10,6.02930329,1910.0,2.9050000000000002,53.3,4.629999999999999,4537.0
11,5.349553819,831.0,2.51,167.08,4.4665,5189.0
12,3.94105221,363.0,1.675,250.28,4.4665,5189.0
13,8.10904807,217.0,1.2850000000000001,95.935,4.4665,5189.0
14,21.67699193,857.0,2.8950000000000005,18.130000000000003,4.5275,4954.0
15,4.99677968,935.0,2.925,196.91,4.5009999999999994,5347.0
16,4.280963604,751.0,2.495,307.33000000000004,4.496,5635.5
17,38.3775486,724.0,2.835,19.425,4.38,5485.0
18,41.19725502,2210.0,3.7699999999999996,8.445,4.512500000000001,5027.0
19,6.252962249,1040.0,2.585,104.445,4.512500000000001,5027.0
20,16.01308419,1120.0,3.115,31.075,4.487499999999999,5022.5
21,32.62876672,1800.0,3.575,18.715000000000003,4.51,5586.0
23,4.959319244,9800.0,12.46,376.05499999999995,4.359,5712.0
24,4.49876511,460.0,2.315,513.775,4.4079999999999995,6064.5
25,5.412203927,602.0,2.965,355.235,4.351000000000001,5773.5
26,41.43958662,2790.0,5.805,20.729999999999997,4.35,5476.0
27,8.35389523,1040.0,2.67,109.355,4.528,5592.0
28,4.125543472,1490.0,4.895,742.5150000000001,4.34,6141.0
29,2.816504904,16800.0,12.585,564.325,4.4295,5527.5
30,3.689920099,427.0,2.0599999999999996,518.45,4.443,5862.5
31,4.431238488,1010.0,3.36,384.69500000000005,4.401,5714.0
32,11.37936986,1020.0,4.08,109.17500000000001,4.401,5714.0
33,26.39432897,1510.0,3.165,14.920000000000002,4.568,5129.0
34,13.57078281,512.0,2.705,97.21,4.395999999999999,5848.0
35,7.12594387,192.0,1.805,245.44,4.351000000000001,5773.5
36,16.38489988,1130.0,1.9949999999999999,8.42,4.661,4126.0
37,7.8774163,1310.0,2.1500000000000004,22.369999999999997,4.661,4126.0
38,36.4454001,1120.0,1.99,2.9,4.661,4126.0
39,3.728732147,5230.0,6.369999999999999,307.025,4.526,5505.5
40,40.4195037,6260.0,7.614999999999999,12.34,4.512499999999999,5454.0
41,2.243380573,822.0,1.98,108.175,4.6965,4144.5
42,2.337437946,971.0,2.38,325.805,4.568999999999999,5005.0
43,7.2406612,556.0,19.794999999999998,71.85999999999999,4.568999999999999,5005.0
44,11.59822233,2800.0,2.61,5.75,4.7925,3679.0
45,6.575315881,2790.0,5.654999999999999,310.115,4.37,5983.0
46,7.275040844,3000.0,5.2,136.81,4.4895,5477.0
47,19.27153892,1220.0,1.92,5.695,4.702,4077.0
48,10.06524317,1050.0,1.9,13.525,4.702,4077.0
49,12.3935651,917.0,2.8150000000000004,58.775000000000006,4.555999999999999,5557.0
50,43.84439721,615.0,2.9350000000000005,20.36,4.395999999999999,5848.0
51,2.711504086,838.0,3.4600000000000004,1271.78,4.361000000000001,6181.5
52,7.21203748,950.0,3.685,344.92499999999995,4.361000000000001,6181.5
