,kepid,Time,Impact,Depth,Radius,Energy,Star_Stability,Temperature
63,4275191,3.895936525,0.44,8540.0,7.779999999999999,287.18,4.5409999999999995,5557.0
64,4476123,22.36646466,0.233,987.0,2.4299999999999997,22.314999999999998,4.579000000000001,5395.0
65,3351888,1.625522174,0.049,7970.0,9.725000000000001,1529.47,4.3405000000000005,5543.5
66,3453214,19.62034692,0.41550000000000004,21700.0,14.05,43.905,4.46,5705.5
67,3641726,9.02930689,0.21250000000000002,1020.0,2.6599999999999997,88.115,4.5035,5349.0
68,3832474,143.2063047,0.279,10600.0,9.120000000000001,2.26,4.5225,5474.0
69,3935914,1.594745374,0.5065000000000001,15000.0,12.18,1656.805,4.426,5925.0
70,3940418,4.783002698,0.214,1010.0,2.575,161.115,4.538499999999999,5170.0
71,4049131,20.50588921,0.20550000000000002,2110.0,3.3950000000000005,17.49,4.558,4905.0
72,4139816,3.340218842,0.24850000000000003,1630.0,2.01,43.605,4.759499999999999,3942.0
73,5358241,18.64932728,0.20450000000000002,894.0,3.215,62.495000000000005,4.3765,5775.0
74,10875245,4.90144976,0.3095,141.0,1.7149999999999999,607.385,4.192,5841.5
75,5358241,9.75192101,0.6265,418.0,2.8549999999999995,148.415,4.3765,5775.0
76,5358241,38.5576546,0.5920000000000001,993.0,4.1499999999999995,23.745,4.3765,5775.0
77,5358624,3.525632539,0.08099999999999999,22300.0,11.79,223.745,4.55,5150.0
78,4544670,34.84398644,1.206,4520.0,8.015,19.110000000000003,4.4475,5509.0
79,4664847,7.748094239,0.473,2470.0,6.09,265.725,4.3545,5941.5
80,4725681,23.96793669,0.2345,1180.0,1.7750000000000001,2.74,4.7364999999999995,3743.0
81,4725681,8.29561738,0.613,824.0,1.7950000000000002,11.265,4.7364999999999995,3743.0
82,4913852,8.11437482,0.33899999999999997,1560.0,2.0900000000000003,10.625,4.7495,3687.0
83,10875245,14.74914825,0.2175,430.0,2.9050000000000002,139.905,4.192,5841.5
84,5021899,21.81295996,0.2235,1180.0,3.59,48.345,4.3740000000000006,5601.0
85,5164255,15.37562369,0.6755,15300.0,10.82,29.849999999999998,4.521000000000001,4986.0
86,5252423,8.10363271,0.22799999999999998,888.0,2.1,53.795,4.5805,4853.5
87,5252423,4.71510843,0.2265,418.0,1.45,110.84500000000001,4.5805,4853.5
88,5272878,6.365839713,0.2985,781.0,2.635,205.79000000000002,4.491,5776.0
89,5651104,3.04033046,0.7304999999999999,10900.0,8.895,262.155,4.5295000000000005,5035.0
90,5792202,15.33528675,0.5045,3080.0,5.155,35.335,4.5435,5251.0
91,10875245,7.95825328,0.5774999999999999,50.0,1.065,318.68499999999995,4.192,5841.5
92,5792202,31.33046135,0.787,5070.0,6.705,13.635,4.5435,5251.0
93,5436502,23.65369415,0.08850000000000001,3340.0,7.819999999999999,71.04,4.218,5744.5
94,5436502,13.23352214,0.20650000000000002,505.0,3.04,154.01999999999998,4.218,5744.5
95,5436502,6.15560285,0.21949999999999997,285.0,2.295,427.33,4.218,5744.5
96,5436502,2.090811305,0.512,116.0,1.6,1804.13,4.218,5744.5
97,10875245,3.180027898,0.219,120.0,1.54,1082.2549999999999,4.192,5841.5
100,5531576,7.953547,0.22249999999999998,875.0,2.215,53.885,4.555999999999999,4763.5
101,5531576,4.14451656,0.238,392.0,1.46,128.53000000000003,4.555999999999999,4763.5
102,6291653,10.52629458,0.637,9770.0,8.58,69.975,4.529,5386.0
103,6392727,4.583520948,0.182,3810.0,5.925,355.81000000000006,4.453,5806.0
104,6428700,8.20396958,0.5335,1020.0,2.98,72.505,4.513999999999999,5015.0
105,6428700,14.49645186,0.6395,648.0,2.98,33.955,4.513999999999999,5015.0
106,5792202,6.54626149,0.5725,656.0,2.26,110.065,4.5435,5251.0
107,5794379,12.71809866,0.2215,1150.0,2.285,23.58,4.6075,4695.0
108,5794379,36.06588163,0.2025,1560.0,2.605,5.88,4.6075,4695.0
109,5881688,4.190425659,0.2715,2880.0,6.824999999999999,725.03,4.319500000000001,6052.0
110,6022556,3.709870784,0.17300000000000001,2020.0,4.529999999999999,460.685,4.423,5723.0
111,6032497,16.3297527,0.5660000000000001,1190.0,4.07,83.645,4.388,5860.5
112,6061119,27.80756622,0.7815000000000001,25400.0,15.049999999999999,28.15,4.517999999999999,5862.0
113,6276477,10.35533116,0.229,751.0,2.6100000000000003,103.57000000000001,4.42,5509.5
114,6863998,16.08518937,0.5660000000000001,1440.0,3.7700000000000005,37.125,4.507999999999999,5247.0
115,6867155,235.9986399,0.777,20700.0,10.504999999999999,0.295,4.633,4245.0
116,6948054,7.49018305,0.21200000000000002,1120.0,2.585,78.35000000000001,4.5520000000000005,5103.0
117,6948054,36.2761238,0.20700000000000002,1570.0,3.0549999999999997,9.565,4.5520000000000005,5103.0
118,6948054,17.46087931,0.5685,812.0,2.335,25.345000000000002,4.5520000000000005,5103.0
119,6435936,56.0560754,0.2155,1630.0,1.8900000000000001,0.6699999999999999,4.7705,3585.5
120,6522242,41.40831669,0.3705,22800.0,11.895,11.49,4.554,5530.5
121,6526710,39.74893077,0.881,15200.0,15.695,28.810000000000002,4.409,6103.5
122,6587280,5.715425977,0.22349999999999998,908.0,2.5700000000000003,138.78,4.529999999999999,5237.0
123,9471974,49.18394185,0.198,1650.0,8.174999999999999,47.91,3.909,5631.5
124,6587280,20.0261412,0.614,421.0,2.375,26.095,4.529999999999999,5237.0
125,6685526,2.237489571,0.227,316.0,1.45,454.39,4.5465,5259.5
126,6784235,3.167893418,0.196,781.0,2.8800000000000003,683.99,4.428,5885.0
127,6849310,4.311780262,0.20850000000000002,1150.0,3.2,295.745,4.448,5522.5
128,6849310,20.0504494,0.232,841.0,2.7649999999999997,38.14,4.448,5522.5
129,6849310,9.76734503,0.595,569.0,2.745,99.495,4.448,5522.5
130,6862328,119.0207044,0.1245,7430.0,8.920000000000002,4.37,4.359999999999999,5457.0
132,7366258,26.44439337,0.1925,1840.0,3.98,25.06,4.4510000000000005,5427.0
133,7366258,51.53997972,0.174,3640.0,5.615,10.295,4.4510000000000005,5427.0
